state,longitude,latitude
Jammu and Kashmir,76.6,33.4
Himachal Pradesh,77.2,31.7
Punjab,75.3,30.9
Uttarakhand,79.0,30.1
Haryana,76.2,29.1
Delhi,77.2,28.6
Rajasthan,73.7,26.6
Uttar Pradesh,80.9,27.2
Bihar,85.6,25.8
Sikkim,88.5,27.5
Arunachal Pradesh,94.5,28.1
Assam,92.0,26.2
Meghalaya,91.3,25.5
Nagaland,94.3,26.1
Manipur,93.9,24.8
Mizoram,92.8,23.3
Tripura,91.7,23.8
West Bengal,87.9,23.3
Jharkhand,85.3,23.7
Odisha,84.5,20.5
Chhattisgarh,82.0,21.4
Madhya Pradesh,78.2,23.7
Gujarat,71.9,22.8
Maharashtra,75.3,19.4
Telangana,79.1,17.8
Andhra Pradesh,80.0,15.5
Karnataka,76.2,14.7
Goa,74.0,15.4
Kerala,76.4,10.3
Tamil Nadu,78.5,11.2
