position,cumulative_gc_skew
1,0
2,0
3,0
4,0
5,0
6,-1
7,-1
8,-2
9,-2
10,-2
11,-2
12,-2
13,-2
14,-3
15,-3
16,-4
17,-5
18,-6
19,-5
20,-5
21,-5
22,-6
23,-7
24,-8
25,-8
26,-9
27,-10
28,-9
29,-8
30,-8
31,-8
32,-8
33,-8
34,-9
35,-9
36,-10
37,-9
38,-9
39,-10
40,-11
41,-10
42,-9
43,-9
44,-10
45,-9
46,-10
47,-10
48,-9
49,-10
50,-9
51,-8
52,-7
53,-7
54,-7
55,-7
56,-8
57,-7
58,-6
59,-6
60,-5
61,-5
62,-5
63,-5
64,-5
65,-5
66,-6
67,-7
68,-8
69,-7
70,-6
71,-7
72,-7
73,-7
74,-7
75,-7
76,-7
77,-6
78,-7
79,-8
80,-9
81,-9
82,-10
83,-10
84,-10
85,-11
86,-10
87,-11
88,-12
89,-13
90,-13
91,-13
92,-13
93,-14
94,-14
95,-14
96,-14
97,-15
98,-15
99,-15
100,-15
101,-15
102,-15
103,-15
104,-15
105,-16
106,-16
107,-16
108,-15
109,-15
110,-16
111,-15
112,-15
113,-15
114,-15
115,-16
116,-16
117,-17
118,-16
119,-15
120,-15
121,-14
122,-15
123,-15
124,-16
125,-15
126,-16
127,-16
128,-16
129,-17
130,-17
131,-17
132,-16
133,-16
134,-17
135,-18
136,-18
137,-19
138,-18
139,-18
140,-19
141,-19
142,-19
143,-19
144,-20
145,-19
146,-20
147,-20
148,-19
149,-19
150,-19
151,-20
152,-19
153,-20
154,-20
155,-19
156,-18
157,-19
158,-19
159,-19
160,-19
161,-19
162,-20
163,-20
164,-20
165,-21
166,-21
167,-21
168,-22
169,-22
170,-23
171,-22
172,-23
173,-22
174,-23
175,-23
176,-23
177,-24
178,-24
179,-23
180,-22
181,-23
182,-22
183,-23
184,-23
185,-23
186,-23
187,-23
188,-23
189,-24
190,-24
191,-25
192,-26
193,-25
194,-25
195,-25
196,-24
197,-23
198,-23
199,-22
200,-22
201,-23
202,-24
203,-24
204,-23
205,-24
206,-24
207,-25
208,-25
209,-25
210,-26
211,-26
212,-26
213,-27
214,-26
215,-25
216,-25
217,-25
218,-26
219,-26
220,-25
221,-25
222,-25
223,-25
