gene_symbol,citrus_sinensis_id,arabidopsis_id,gene_description,mapman_bin,condition,condition_label,log2_fold_change_vs_healthy,direction
,Orange1.1g000623m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g000623m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,2.63,up
,Orange1.1g000988m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g000988m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,1.43,up
,Orange1.1g001036m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g001036m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,4.48,up
,Orange1.1g001373m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g001373m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,1.25,up
,Orange1.1g002062m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g002062m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,1.1,up
,Orange1.1g002353m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g002353m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.27,down
,Orange1.1g002533m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g002533m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,1.07,up
,Orange1.1g003501m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g003501m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.15,down
,Orange1.1g003561m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g003561m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.24,down
,Orange1.1g003789m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g003789m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,2.4,up
,Orange1.1g003996m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g003996m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,1.41,up
,Orange1.1g004402m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g004402m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,1.58,up
,Orange1.1g004502m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g004502m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.04,down
,Orange1.1g004510m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g004510m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,1.2,up
,Orange1.1g004862m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g004862m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.43,down
,Orange1.1g005024m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g005024m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.45,down
,Orange1.1g005591m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g005591m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,1.63,up
,Orange1.1g005865m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g005865m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.36,down
,Orange1.1g006023m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g006023m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,1.07,up
,Orange1.1g006160m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g006160m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,1.38,up
,Orange1.1g006749m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g006749m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,1.52,up
